intervs : BEFOR, AFTER, IS_IN, INCLU, DURIN, DUR_I, IBEFO, IAFTE, BEGIN, BGNBY, ENDS , ENDBY, SIMUL, IDENT
   20   : 13.33, 13.33, 46.67, 13.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 13.33
   26   :  4.35, 39.13, 13.04,  8.70,  4.35,  0.00,  4.35,  0.00,  4.35,  0.00,  4.35,  0.00,  0.00, 17.39
   20   :  8.33,  0.00, 58.33,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00
   68   : 18.03, 14.75, 32.79,  4.92,  1.64,  0.00,  0.00,  0.00,  1.64,  0.00,  3.28,  4.92, 14.75,  3.28
   89   : 10.00, 18.57, 24.29, 10.00,  2.86,  0.00,  0.00,  0.00,  1.43,  1.43,  1.43,  2.86, 15.71, 11.43
   21   : 15.79, 21.05,  5.26, 10.53,  0.00,  0.00,  5.26,  5.26,  0.00,  5.26,  0.00, 10.53,  5.26, 15.79
  116   : 28.92, 14.46, 30.12,  4.82,  1.20,  0.00,  1.20,  0.00,  0.00,  0.00,  0.00,  0.00, 15.66,  3.61
   23   : 29.41, 11.76, 11.76, 17.65,  5.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 11.76, 11.76
   19   : 28.57, 14.29,  7.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 28.57, 21.43
   76   : 30.88, 16.18, 11.76,  0.00, 10.29,  0.00,  0.00,  0.00,  1.47,  1.47,  2.94,  2.94, 16.18,  5.88
   47   : 23.26, 16.28, 13.95,  4.65,  2.33,  0.00,  4.65,  4.65,  0.00,  2.33,  0.00,  0.00, 16.28, 11.63
   31   : 32.14, 10.71,  3.57,  7.14,  7.14,  0.00,  0.00,  0.00,  3.57,  0.00,  3.57,  7.14,  0.00, 25.00
   14   : 33.33,  8.33,  0.00,  8.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33, 16.67
   10   : 11.11, 44.44, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 11.11
   26   : 28.57, 19.05, 23.81,  0.00,  4.76,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  9.52,  9.52,  4.76
   25   : 27.78,  0.00, 22.22,  5.56, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.56, 11.11, 16.67
   28   : 21.05, 26.32, 21.05, 15.79,  5.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 10.53,  0.00
   32   : 20.83, 20.83, 37.50,  0.00,  4.17,  0.00,  0.00,  0.00,  0.00,  4.17,  0.00,  0.00,  4.17,  8.33
   11   : 40.00, 20.00, 10.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00, 10.00
   20   :  7.14,  7.14,  7.14, 21.43,  7.14,  0.00,  0.00,  0.00,  0.00,  7.14, 21.43,  7.14,  7.14,  7.14
   17   : 29.41, 23.53, 11.76,  0.00,  0.00,  0.00,  5.88,  5.88,  5.88,  0.00,  5.88,  0.00,  5.88,  5.88
   40   : 32.35, 14.71, 11.76,  2.94,  2.94,  0.00,  0.00,  0.00,  0.00,  2.94,  0.00,  2.94, 14.71, 14.71
   93   : 20.83,  9.72, 36.11,  5.56,  1.39,  0.00,  2.78,  0.00,  0.00,  0.00,  0.00,  0.00,  4.17, 19.44
   50   : 26.67, 13.33, 13.33, 20.00,  8.89,  0.00,  0.00,  0.00,  0.00,  2.22,  0.00,  0.00,  6.67,  8.89
   15   : 35.71,  0.00, 28.57, 21.43,  0.00,  0.00,  0.00,  0.00,  7.14,  0.00,  7.14,  0.00,  0.00,  0.00
   64   : 29.31, 12.07, 17.24, 12.07,  3.45,  0.00,  0.00,  0.00,  0.00,  0.00, 10.34,  1.72, 12.07,  1.72
   19   : 14.29,  7.14, 14.29, 21.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29, 28.57
   81   : 24.59,  9.84, 22.95,  1.64, 13.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.28, 19.67,  4.92
   26   :  9.09,  9.09, 36.36, 22.73,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.55,  9.09,  9.09
   34   : 32.35, 17.65, 17.65,  0.00,  0.00,  0.00,  8.82,  0.00,  0.00,  2.94,  0.00,  0.00,  8.82, 11.76
   27   : 30.00, 20.00, 20.00,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.00,  0.00
   91   : 29.87, 19.48, 16.88, 10.39,  0.00,  0.00,  0.00,  1.30,  1.30,  1.30,  1.30,  1.30,  2.60, 14.29
   18   : 20.00,  6.67, 20.00, 20.00,  6.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  6.67,  0.00, 20.00
   52   : 12.82, 35.90,  5.13, 12.82, 28.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.13,  0.00
   22   : 31.25, 18.75,  0.00,  6.25, 12.50,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50,  0.00, 18.75,  0.00
   20   : 17.65, 23.53, 17.65, 17.65,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.88,  0.00,  0.00, 17.65
   18   : 23.08,  0.00, 30.77, 23.08,  7.69,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.69,  7.69
   13   : 11.11, 33.33,  0.00, 11.11, 22.22,  0.00,  0.00,  0.00,  0.00,  0.00, 11.11,  0.00, 11.11,  0.00
   25   : 36.00, 12.00, 28.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  8.00,  0.00,  8.00,  8.00
   48   : 25.00, 25.00,  7.50, 10.00,  7.50,  0.00,  0.00,  0.00,  2.50,  0.00,  5.00,  7.50,  2.50,  7.50
  105   : 24.42,  8.14, 31.40,  8.14,  1.16,  0.00,  0.00,  0.00,  4.65,  0.00,  4.65,  1.16, 10.47,  5.81
   59   : 19.15,  8.51,  8.51, 12.77, 29.79,  0.00,  0.00,  0.00,  2.13,  0.00,  2.13,  6.38, 10.64,  0.00
   16   : 35.71, 14.29, 42.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.14
   18   : 35.29, 17.65,  0.00, 17.65,  0.00,  0.00,  0.00,  0.00,  5.88,  5.88,  0.00,  0.00,  0.00, 17.65
   23   : 10.53, 10.53, 47.37,  5.26,  5.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 10.53, 10.53
  106   : 18.18,  7.79, 29.87,  9.09,  5.19,  0.00,  0.00,  1.30,  1.30,  0.00,  0.00,  1.30,  5.19, 20.78
  114   : 19.77, 13.95, 15.12,  3.49, 18.60,  0.00,  0.00,  0.00,  1.16,  0.00,  4.65,  2.33, 16.28,  4.65
   45   : 37.21, 25.58,  9.30, 11.63,  9.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.33,  4.65
   19   :  6.67,  0.00, 40.00,  6.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  6.67, 20.00, 20.00
   40   : 32.43, 10.81, 16.22, 13.51,  0.00,  0.00,  0.00,  0.00,  2.70,  0.00,  0.00, 10.81,  5.41,  8.11
   40   :  6.67, 13.33, 36.67, 10.00,  3.33,  0.00,  0.00,  3.33,  0.00,  0.00,  0.00,  0.00,  3.33, 23.33
   20   : 13.33, 13.33,  6.67, 13.33,  0.00,  0.00,  6.67,  0.00,  6.67,  0.00,  0.00, 13.33, 26.67,  0.00
   72   :  9.26, 11.11, 31.48, 12.96,  3.70,  0.00,  0.00,  0.00,  0.00,  5.56,  0.00,  0.00,  5.56, 20.37
   31   : 22.22, 11.11,  7.41,  7.41,  7.41,  0.00,  0.00,  0.00,  0.00,  3.70,  0.00, 22.22,  3.70, 14.81
   81   : 20.69,  8.62, 43.10,  3.45,  1.72,  0.00,  0.00,  1.72,  0.00,  1.72,  0.00,  0.00,  8.62, 10.34
   30   : 29.17,  8.33, 25.00,  8.33,  4.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00
   12   : 12.50,  0.00, 37.50, 12.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50,  0.00, 25.00
   31   : 13.79, 20.69, 20.69,  6.90,  0.00,  0.00,  3.45,  0.00,  0.00,  0.00,  0.00,  0.00, 20.69, 13.79
   32   : 10.71, 14.29, 10.71, 21.43,  3.57,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 17.86, 21.43
   16   : 28.57, 14.29, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 21.43,  7.14, 14.29
  149   : 28.93,  9.09, 29.75, 10.74,  0.00,  0.00,  0.00,  0.00,  1.65,  0.00,  2.48,  3.31,  4.96,  9.09
   29   : 30.00,  0.00, 25.00, 15.00, 10.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.00, 10.00,  5.00
  108   : 18.63, 17.65, 18.63,  6.86,  7.84,  0.00,  0.00,  0.00,  0.98,  1.96,  2.94,  2.94, 18.63,  2.94
   15   : 18.18,  9.09, 45.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 27.27
   18   : 33.33,  8.33, 33.33,  8.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00
   17   : 30.77,  0.00, 30.77, 15.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 15.38,  7.69
   23   : 18.18,  4.55, 31.82, 18.18,  0.00,  0.00,  0.00,  0.00,  0.00,  4.55,  0.00,  4.55,  4.55, 13.64
   23   : 15.79, 10.53, 52.63,  0.00, 15.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.26,  0.00
   26   :  0.00,  6.25, 37.50, 25.00,  6.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 18.75,  6.25
   33   : 30.77, 15.38, 23.08,  7.69,  3.85,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.85,  0.00, 15.38
   24   : 16.67,  5.56, 22.22, 11.11, 22.22,  0.00,  0.00,  5.56,  0.00,  5.56,  0.00,  0.00,  5.56,  5.56
   17   : 29.41, 11.76,  5.88,  5.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 23.53, 23.53
   29   : 18.18,  9.09, 40.91,  4.55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.55,  0.00,  9.09, 13.64
   15   : 25.00, 16.67,  8.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  8.33, 16.67, 25.00
   32   : 18.18, 22.73, 22.73,  4.55,  4.55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.55,  9.09, 13.64
   79   : 14.47, 21.05, 17.11, 11.84,  2.63,  0.00,  0.00,  1.32,  2.63,  0.00,  1.32,  1.32, 17.11,  9.21
  163   : 15.83, 10.79, 16.55, 21.58,  2.16,  0.00,  1.44,  1.44,  0.72,  5.04,  0.72,  2.16,  7.91, 13.67
   12   : 25.00,  0.00, 62.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50,  0.00
   14   : 27.27, 36.36,  0.00, 18.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  9.09,  9.09,  0.00
   52   : 18.00, 16.00,  6.00, 32.00,  0.00,  0.00,  4.00,  2.00,  0.00,  0.00,  0.00,  0.00,  4.00, 18.00
  178   : 22.60, 12.33, 15.75,  7.53,  2.74,  0.00,  0.00,  0.68,  0.00,  2.74,  2.05, 10.96,  7.53, 15.07
   15   : 18.18,  9.09, 27.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 18.18, 27.27
   14   :  9.09, 27.27,  9.09,  9.09,  0.00,  0.00,  0.00,  0.00,  9.09,  0.00,  0.00,  0.00, 18.18, 18.18
   40   : 18.18,  3.03,  9.09, 24.24,  9.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.03,  3.03, 30.30
   17   : 26.67, 20.00,  0.00,  6.67,  0.00,  0.00,  0.00,  6.67,  0.00,  6.67,  0.00,  6.67,  0.00, 26.67
   23   : 31.58, 21.05, 15.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.26, 21.05,  5.26
   14   : 20.00,  0.00, 30.00, 10.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00, 20.00
  212   : 11.60, 16.57, 18.23,  7.18,  0.55,  0.00,  2.21,  0.55,  2.76,  1.10,  0.55,  0.00, 15.47, 23.20
   28   : 28.57, 23.81, 19.05,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00,  4.76,  0.00,  0.00,  4.76,  4.76
   49   : 17.95, 15.38, 25.64,  2.56, 12.82,  0.00,  0.00,  2.56,  2.56,  2.56,  0.00,  5.13,  0.00, 12.82
  298   : 19.57, 16.60, 21.70,  5.53,  3.83,  0.00,  1.28,  0.85,  0.43,  0.85,  0.85,  0.00, 12.34, 16.17
  104   : 30.53,  8.42, 23.16,  9.47,  1.05,  0.00,  0.00,  1.05,  1.05,  1.05,  0.00,  2.11,  5.26, 16.84
   39   : 17.14, 20.00, 22.86,  2.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.71, 31.43
   69   : 20.75, 13.21,  9.43,  3.77,  9.43,  0.00,  0.00,  0.00,  1.89,  0.00,  1.89,  1.89, 20.75, 16.98
   16   : 18.18,  9.09, 18.18, 36.36,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  9.09,  9.09,  0.00
   29   : 23.08, 38.46, 19.23,  7.69,  3.85,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.69
  130   : 18.87, 13.21, 37.74,  8.49,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.94,  4.72,  8.49,  7.55
   29   : 16.67, 20.00,  3.33,  3.33,  3.33,  0.00,  0.00,  3.33,  3.33,  0.00,  0.00,  0.00, 40.00,  6.67
   32   : 20.00, 16.00, 12.00, 32.00,  8.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 12.00
   16   :  6.67, 20.00, 26.67,  6.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 13.33, 20.00,  6.67
   22   : 38.10,  4.76, 14.29, 14.29,  4.76,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 19.05,  4.76
   18   : 30.77,  7.69,  7.69, 15.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.69, 30.77,  0.00
   19   :  5.56, 22.22, 33.33, 11.11,  0.00,  0.00,  5.56,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  5.56
   22   : 26.32, 21.05, 10.53, 10.53, 15.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 15.79,  0.00
    7   : 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00
  210   : 27.61,  7.98, 14.72, 15.34,  6.75,  0.61,  1.23,  0.00,  0.00,  1.84,  1.23,  1.23, 15.95,  5.52
   21   : 35.29,  0.00, 17.65,  5.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.88, 11.76, 23.53
   49   : 17.07, 24.39,  7.32,  2.44,  2.44,  0.00,  0.00,  2.44,  0.00,  0.00,  0.00,  0.00, 14.63, 29.27
   23   : 35.29,  5.88, 17.65,  5.88,  5.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 17.65, 11.76
   43   : 10.00, 25.00, 20.00, 10.00,  0.00,  0.00,  0.00,  0.00,  5.00,  0.00, 10.00,  0.00, 15.00,  5.00
   81   : 17.74, 19.35, 17.74,  8.06,  0.00,  0.00,  1.61,  0.00,  1.61,  1.61,  0.00,  8.06,  8.06, 16.13
   14   :  9.09,  9.09,  0.00, 18.18, 27.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  9.09, 18.18,  9.09
   85   :  7.94, 12.70, 20.63, 23.81, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 22.22,  1.59
   22   : 17.65,  0.00,  5.88, 35.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.88, 35.29
   40   :  6.06,  6.06, 33.33, 15.15,  3.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.03, 33.33
   47   : 30.30,  9.09, 21.21,  9.09, 12.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 18.18,  0.00
   34   : 30.56,  8.33, 30.56,  0.00,  0.00,  0.00,  2.78,  5.56,  0.00,  0.00,  0.00,  2.78, 13.89,  5.56
   34   : 19.23, 15.38,  7.69, 15.38,  3.85,  0.00,  3.85,  0.00,  7.69,  0.00,  3.85,  3.85,  3.85, 15.38
   31   : 45.83,  0.00, 29.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50, 12.50
   18   :  7.14,  0.00, 71.43,  7.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29,  0.00
   31   : 34.78,  4.35, 39.13,  4.35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.35,  8.70,  4.35
    6   : 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00
    8   : 50.00, 16.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  0.00, 16.67,  0.00
   46   : 16.22, 18.92, 24.32, 16.22,  2.70,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.41, 16.22
   61   : 10.20, 32.65,  6.12,  4.08, 28.57,  0.00,  0.00,  0.00,  2.04,  2.04,  0.00,  0.00, 12.24,  2.04
   36   : 24.14,  6.90, 27.59,  6.90,  0.00,  0.00,  0.00,  0.00,  0.00,  6.90,  0.00,  3.45,  0.00, 24.14
    6   : 25.00, 25.00,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 25.00
   56   : 12.50,  2.50, 25.00,  7.50,  5.00,  0.00,  0.00,  7.50,  0.00,  0.00,  0.00,  2.50, 32.50,  5.00
   30   :  3.70, 18.52, 22.22, 14.81,  0.00,  0.00,  0.00,  0.00,  3.70, 14.81,  3.70,  7.41,  0.00, 11.11
    8   : 40.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 40.00
   76   : 21.21, 21.21, 21.21, 15.15,  0.00,  0.00,  0.00,  0.00,  0.00,  3.03,  0.00,  3.03,  9.09,  6.06
   20   : 33.33,  5.56, 22.22,  5.56, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.56,  0.00, 16.67
  134   : 26.42,  7.55, 22.64,  3.77,  5.66,  0.00,  0.00,  0.00,  0.94,  0.94,  0.94,  3.77,  6.60, 20.75
    9   : 42.86,  0.00,  0.00, 42.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29
   87   : 16.18, 17.65, 33.82, 13.24,  0.00,  0.00,  0.00,  0.00,  2.94,  0.00,  2.94,  2.94,  5.88,  4.41
   24   : 15.79, 15.79, 26.32,  5.26,  5.26,  0.00,  0.00,  0.00,  5.26,  5.26,  0.00, 10.53,  5.26,  5.26
   26   : 15.00, 20.00, 10.00, 10.00,  5.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.00,  5.00, 30.00
   22   :  5.88, 29.41,  5.88, 17.65,  0.00,  0.00,  0.00,  5.88,  5.88,  5.88,  0.00,  0.00,  5.88, 17.65
   22   : 14.29, 28.57, 19.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 38.10
   75   : 22.64, 13.21, 33.96,  3.77,  0.00,  0.00,  0.00,  1.89,  1.89,  0.00,  1.89,  1.89,  9.43,  9.43
   18   : 46.67,  6.67,  6.67,  6.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  6.67,  0.00,  6.67, 20.00
   15   : 38.46, 15.38,  0.00,  0.00, 30.77,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 15.38,  0.00
   27   : 29.17,  4.17, 20.83,  8.33,  0.00,  0.00,  0.00,  0.00,  4.17,  0.00,  4.17,  0.00, 12.50, 16.67
   51   : 10.53,  7.89, 39.47,  7.89,  2.63,  0.00,  0.00,  2.63,  0.00,  0.00,  0.00,  7.89,  0.00, 21.05
   50   : 20.00, 24.44, 15.56, 13.33, 13.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.22, 11.11
   16   : 41.67,  0.00,  8.33,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,  8.33
   14   : 22.22, 11.11, 44.44, 11.11,  0.00,  0.00, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
  107   : 20.20, 30.30, 20.20,  8.08,  1.01,  0.00,  0.00,  2.02,  2.02,  0.00,  1.01,  2.02,  7.07,  6.06
   12   : 11.11, 11.11, 33.33, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33
   40   : 17.86,  3.57, 39.29,  0.00,  7.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.57, 10.71, 17.86
   54   : 14.29,  4.76, 28.57, 11.90,  4.76,  0.00,  2.38,  0.00,  0.00,  0.00,  0.00,  4.76,  4.76, 23.81
   49   : 18.60,  9.30, 32.56,  2.33, 11.63,  0.00,  0.00,  0.00,  0.00,  2.33,  2.33,  0.00, 13.95,  6.98
   16   : 20.00, 30.00, 20.00, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 10.00,  0.00

Totals:

 7870   : 21.94, 13.98, 21.14,  9.07,  4.71,  0.02,  0.53,  0.61,  0.95,  1.09,  1.18,  2.76, 10.45, 11.58

Averages:

43.01   : 22.99, 13.10, 20.74,  9.29,  4.59,  0.00,  0.47,  0.60,  0.82,  1.05,  1.12,  3.21, 10.05, 11.96
