intervs : BEFOR, AFTER, IS_IN, INCLU, DURIN, DUR_I, IBEFO, IAFTE, BEGIN, BGNBY, ENDS , ENDBY, SIMUL, IDENT
   11   :  2.27,  1.52,  3.79,  0.76,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.76,  0.00
   59   :  0.52,  0.00,  0.33,  0.26,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.18,  0.26
   18   :  2.38,  0.79,  0.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.79,  0.00,  0.00,  0.00,  0.79
   58   :  0.27,  0.16,  0.47,  0.04,  0.08,  0.00,  0.00,  0.00,  0.00,  0.20,  0.00,  0.12,  0.16,  0.24
   19   :  0.81,  0.81,  1.21,  0.40,  0.40,  0.00,  0.00,  0.00,  0.00,  0.00,  0.40,  0.00,  0.81,  0.40
   12   :  1.85,  0.93,  4.63,  0.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
   27   :  0.46,  0.62,  0.77,  0.31,  0.00,  0.00,  0.15,  0.00,  0.15,  0.00,  0.00,  0.15,  0.15,  0.93
   20   :  0.88,  0.59,  0.88,  0.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.47,  0.29
   20   :  0.67,  0.67,  2.33,  0.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.67
   26   :  0.17,  1.51,  0.50,  0.33,  0.17,  0.00,  0.17,  0.00,  0.17,  0.00,  0.17,  0.00,  0.00,  0.67
   20   :  0.42,  0.00,  2.92,  0.00,  0.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.83,  0.00
   68   :  0.27,  0.22,  0.48,  0.07,  0.02,  0.00,  0.00,  0.00,  0.02,  0.00,  0.05,  0.07,  0.22,  0.05
   89   :  0.11,  0.21,  0.27,  0.11,  0.03,  0.00,  0.00,  0.00,  0.02,  0.02,  0.02,  0.03,  0.18,  0.13
   21   :  0.75,  1.00,  0.25,  0.50,  0.00,  0.00,  0.25,  0.25,  0.00,  0.25,  0.00,  0.50,  0.25,  0.75
  116   :  0.25,  0.12,  0.26,  0.04,  0.01,  0.00,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.14,  0.03
   23   :  1.28,  0.51,  0.51,  0.77,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.51,  0.51
   19   :  1.50,  0.75,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.50,  1.13
   76   :  0.41,  0.21,  0.15,  0.00,  0.14,  0.00,  0.00,  0.00,  0.02,  0.02,  0.04,  0.04,  0.21,  0.08
   47   :  0.49,  0.35,  0.30,  0.10,  0.05,  0.00,  0.10,  0.10,  0.00,  0.05,  0.00,  0.00,  0.35,  0.25
   31   :  1.04,  0.35,  0.12,  0.23,  0.23,  0.00,  0.00,  0.00,  0.12,  0.00,  0.12,  0.23,  0.00,  0.81
   14   :  2.38,  0.59,  0.00,  0.59,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.38,  1.19
   10   :  1.11,  4.44,  3.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.11
   26   :  1.10,  0.73,  0.92,  0.00,  0.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.37,  0.37,  0.18
   25   :  1.11,  0.00,  0.89,  0.22,  0.44,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.22,  0.44,  0.67
   28   :  0.75,  0.94,  0.75,  0.56,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.38,  0.00
   32   :  0.65,  0.65,  1.17,  0.00,  0.13,  0.00,  0.00,  0.00,  0.00,  0.13,  0.00,  0.00,  0.13,  0.26
   11   :  3.64,  1.82,  0.91,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.82,  0.00,  0.00,  0.00,  0.91
   20   :  0.36,  0.36,  0.36,  1.07,  0.36,  0.00,  0.00,  0.00,  0.00,  0.36,  1.07,  0.36,  0.36,  0.36
   17   :  1.73,  1.38,  0.69,  0.00,  0.00,  0.00,  0.35,  0.35,  0.35,  0.00,  0.35,  0.00,  0.35,  0.35
   40   :  0.81,  0.37,  0.29,  0.07,  0.07,  0.00,  0.00,  0.00,  0.00,  0.07,  0.00,  0.07,  0.37,  0.37
   93   :  0.22,  0.10,  0.39,  0.06,  0.01,  0.00,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.21
   50   :  0.53,  0.27,  0.27,  0.40,  0.18,  0.00,  0.00,  0.00,  0.00,  0.04,  0.00,  0.00,  0.13,  0.18
   15   :  2.38,  0.00,  1.90,  1.43,  0.00,  0.00,  0.00,  0.00,  0.48,  0.00,  0.48,  0.00,  0.00,  0.00
   64   :  0.46,  0.19,  0.27,  0.19,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.16,  0.03,  0.19,  0.03
   19   :  0.75,  0.38,  0.75,  1.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.75,  1.50
   81   :  0.30,  0.12,  0.28,  0.02,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.24,  0.06
   26   :  0.35,  0.35,  1.40,  0.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.17,  0.35,  0.35
   34   :  0.95,  0.52,  0.52,  0.00,  0.00,  0.00,  0.26,  0.00,  0.00,  0.09,  0.00,  0.00,  0.26,  0.35
   27   :  1.11,  0.74,  0.74,  0.00,  0.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.19,  0.00
   91   :  0.33,  0.21,  0.19,  0.11,  0.00,  0.00,  0.00,  0.01,  0.01,  0.01,  0.01,  0.01,  0.03,  0.16
   18   :  1.11,  0.37,  1.11,  1.11,  0.37,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.37,  0.00,  1.11
   52   :  0.25,  0.69,  0.10,  0.25,  0.54,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.10,  0.00
   22   :  1.42,  0.85,  0.00,  0.28,  0.57,  0.00,  0.00,  0.00,  0.00,  0.00,  0.57,  0.00,  0.85,  0.00
   20   :  0.88,  1.18,  0.88,  0.88,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.29,  0.00,  0.00,  0.88
   18   :  1.28,  0.00,  1.71,  1.28,  0.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.43,  0.43
   13   :  0.85,  2.56,  0.00,  0.85,  1.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.85,  0.00,  0.85,  0.00
   25   :  1.44,  0.48,  1.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.32,  0.00,  0.32,  0.32
   48   :  0.52,  0.52,  0.16,  0.21,  0.16,  0.00,  0.00,  0.00,  0.05,  0.00,  0.10,  0.16,  0.05,  0.16
  105   :  0.23,  0.08,  0.30,  0.08,  0.01,  0.00,  0.00,  0.00,  0.04,  0.00,  0.04,  0.01,  0.10,  0.06
   59   :  0.32,  0.14,  0.14,  0.22,  0.50,  0.00,  0.00,  0.00,  0.04,  0.00,  0.04,  0.11,  0.18,  0.00
   16   :  2.23,  0.89,  2.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.45
   18   :  1.96,  0.98,  0.00,  0.98,  0.00,  0.00,  0.00,  0.00,  0.33,  0.33,  0.00,  0.00,  0.00,  0.98
   23   :  0.46,  0.46,  2.06,  0.23,  0.23,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.46,  0.46
  106   :  0.17,  0.07,  0.28,  0.09,  0.05,  0.00,  0.00,  0.01,  0.01,  0.00,  0.00,  0.01,  0.05,  0.20
  114   :  0.17,  0.12,  0.13,  0.03,  0.16,  0.00,  0.00,  0.00,  0.01,  0.00,  0.04,  0.02,  0.14,  0.04
   45   :  0.83,  0.57,  0.21,  0.26,  0.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.05,  0.10
   19   :  0.35,  0.00,  2.11,  0.35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.35,  1.05,  1.05
   40   :  0.81,  0.27,  0.41,  0.34,  0.00,  0.00,  0.00,  0.00,  0.07,  0.00,  0.00,  0.27,  0.14,  0.20
   40   :  0.17,  0.33,  0.92,  0.25,  0.08,  0.00,  0.00,  0.08,  0.00,  0.00,  0.00,  0.00,  0.08,  0.58
   20   :  0.67,  0.67,  0.33,  0.67,  0.00,  0.00,  0.33,  0.00,  0.33,  0.00,  0.00,  0.67,  1.33,  0.00
   72   :  0.13,  0.15,  0.44,  0.18,  0.05,  0.00,  0.00,  0.00,  0.00,  0.08,  0.00,  0.00,  0.08,  0.28
   31   :  0.72,  0.36,  0.24,  0.24,  0.24,  0.00,  0.00,  0.00,  0.00,  0.12,  0.00,  0.72,  0.12,  0.48
   81   :  0.26,  0.11,  0.53,  0.04,  0.02,  0.00,  0.00,  0.02,  0.00,  0.02,  0.00,  0.00,  0.11,  0.13
   30   :  0.97,  0.28,  0.83,  0.28,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.83
   12   :  1.04,  0.00,  3.12,  1.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.04,  0.00,  2.08
   31   :  0.44,  0.67,  0.67,  0.22,  0.00,  0.00,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.67,  0.44
   32   :  0.33,  0.45,  0.33,  0.67,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.56,  0.67
   16   :  1.79,  0.89,  0.89,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.34,  0.45,  0.89
  149   :  0.19,  0.06,  0.20,  0.07,  0.00,  0.00,  0.00,  0.00,  0.01,  0.00,  0.02,  0.02,  0.03,  0.06
   29   :  1.03,  0.00,  0.86,  0.52,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.17,  0.34,  0.17
  108   :  0.17,  0.16,  0.17,  0.06,  0.07,  0.00,  0.00,  0.00,  0.01,  0.02,  0.03,  0.03,  0.17,  0.03
   15   :  1.21,  0.61,  3.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.82
   18   :  1.85,  0.46,  1.85,  0.46,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.93,  0.00
   17   :  1.81,  0.00,  1.81,  0.90,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.90,  0.45
   23   :  0.79,  0.20,  1.38,  0.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.20,  0.00,  0.20,  0.20,  0.59
   23   :  0.69,  0.46,  2.29,  0.00,  0.69,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.23,  0.00
   26   :  0.00,  0.24,  1.44,  0.96,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.72,  0.24
   33   :  0.93,  0.47,  0.70,  0.23,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.12,  0.00,  0.47
   24   :  0.69,  0.23,  0.93,  0.46,  0.93,  0.00,  0.00,  0.23,  0.00,  0.23,  0.00,  0.00,  0.23,  0.23
   17   :  1.73,  0.69,  0.35,  0.35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.38,  1.38
   29   :  0.63,  0.31,  1.41,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.16,  0.00,  0.31,  0.47
   15   :  1.67,  1.11,  0.56,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.56,  1.11,  1.67
   32   :  0.57,  0.71,  0.71,  0.14,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.14,  0.28,  0.43
   79   :  0.18,  0.27,  0.22,  0.15,  0.03,  0.00,  0.00,  0.02,  0.03,  0.00,  0.02,  0.02,  0.22,  0.12
  163   :  0.10,  0.07,  0.10,  0.13,  0.01,  0.00,  0.01,  0.01,  0.00,  0.03,  0.00,  0.01,  0.05,  0.08
   12   :  2.08,  0.00,  5.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.04,  0.00
   14   :  1.95,  2.60,  0.00,  1.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.65,  0.65,  0.00
   52   :  0.35,  0.31,  0.12,  0.62,  0.00,  0.00,  0.08,  0.04,  0.00,  0.00,  0.00,  0.00,  0.08,  0.35
  178   :  0.13,  0.07,  0.09,  0.04,  0.02,  0.00,  0.00,  0.00,  0.00,  0.02,  0.01,  0.06,  0.04,  0.08
   15   :  1.21,  0.61,  1.82,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.21,  1.82
   14   :  0.65,  1.95,  0.65,  0.65,  0.00,  0.00,  0.00,  0.00,  0.65,  0.00,  0.00,  0.00,  1.30,  1.30
   40   :  0.45,  0.08,  0.23,  0.61,  0.23,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.08,  0.76
   17   :  1.57,  1.18,  0.00,  0.39,  0.00,  0.00,  0.00,  0.39,  0.00,  0.39,  0.00,  0.39,  0.00,  1.57
   23   :  1.37,  0.92,  0.69,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.23,  0.92,  0.23
   14   :  1.43,  0.00,  2.14,  0.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.43,  0.00,  1.43
  212   :  0.05,  0.08,  0.09,  0.03,  0.00,  0.00,  0.01,  0.00,  0.01,  0.01,  0.00,  0.00,  0.07,  0.11
   28   :  1.02,  0.85,  0.68,  0.00,  0.51,  0.00,  0.00,  0.00,  0.00,  0.17,  0.00,  0.00,  0.17,  0.17
   49   :  0.37,  0.31,  0.52,  0.05,  0.26,  0.00,  0.00,  0.05,  0.05,  0.05,  0.00,  0.10,  0.00,  0.26
  298   :  0.07,  0.06,  0.07,  0.02,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.05
  104   :  0.29,  0.08,  0.22,  0.09,  0.01,  0.00,  0.00,  0.01,  0.01,  0.01,  0.00,  0.02,  0.05,  0.16
   39   :  0.44,  0.51,  0.59,  0.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.15,  0.81
   69   :  0.30,  0.19,  0.14,  0.05,  0.14,  0.00,  0.00,  0.00,  0.03,  0.00,  0.03,  0.03,  0.30,  0.25
   16   :  1.14,  0.57,  1.14,  2.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.57,  0.57,  0.00
   29   :  0.80,  1.33,  0.66,  0.27,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.27
  130   :  0.15,  0.10,  0.29,  0.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01,  0.04,  0.07,  0.06
   29   :  0.57,  0.69,  0.11,  0.11,  0.11,  0.00,  0.00,  0.11,  0.11,  0.00,  0.00,  0.00,  1.38,  0.23
   32   :  0.62,  0.50,  0.38,  1.00,  0.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.38
   16   :  0.42,  1.25,  1.67,  0.42,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.83,  1.25,  0.42
   22   :  1.73,  0.22,  0.65,  0.65,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.87,  0.22
   18   :  1.71,  0.43,  0.43,  0.85,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.43,  1.71,  0.00
   19   :  0.29,  1.17,  1.75,  0.58,  0.00,  0.00,  0.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.88,  0.29
   22   :  1.20,  0.96,  0.48,  0.48,  0.72,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.72,  0.00
    7   :  7.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.57,  0.00,  3.57
  210   :  0.13,  0.04,  0.07,  0.07,  0.03,  0.00,  0.01,  0.00,  0.00,  0.01,  0.01,  0.01,  0.08,  0.03
   21   :  1.68,  0.00,  0.84,  0.28,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.28,  0.56,  1.12
   49   :  0.35,  0.50,  0.15,  0.05,  0.05,  0.00,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.30,  0.60
   23   :  1.53,  0.26,  0.77,  0.26,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.77,  0.51
   43   :  0.23,  0.58,  0.47,  0.23,  0.00,  0.00,  0.00,  0.00,  0.12,  0.00,  0.23,  0.00,  0.35,  0.12
   81   :  0.22,  0.24,  0.22,  0.10,  0.00,  0.00,  0.02,  0.00,  0.02,  0.02,  0.00,  0.10,  0.10,  0.20
   14   :  0.65,  0.65,  0.00,  1.30,  1.95,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.65,  1.30,  0.65
   85   :  0.09,  0.15,  0.24,  0.28,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.26,  0.02
   22   :  0.80,  0.00,  0.27,  1.60,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.27,  1.60
   40   :  0.15,  0.15,  0.83,  0.38,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.83
   47   :  0.64,  0.19,  0.45,  0.19,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.39,  0.00
   34   :  0.90,  0.24,  0.90,  0.00,  0.00,  0.00,  0.08,  0.16,  0.00,  0.00,  0.00,  0.08,  0.41,  0.16
   34   :  0.57,  0.45,  0.23,  0.45,  0.11,  0.00,  0.11,  0.00,  0.23,  0.00,  0.11,  0.11,  0.11,  0.45
   31   :  1.48,  0.00,  0.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.40,  0.40
   18   :  0.40,  0.00,  3.97,  0.40,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.79,  0.00
   31   :  1.12,  0.14,  1.26,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.14,  0.28,  0.14
    6   :  8.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.17,  0.00,  4.17
    8   :  6.25,  2.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.08,  0.00,  2.08,  0.00
   46   :  0.35,  0.41,  0.53,  0.35,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.12,  0.35
   61   :  0.17,  0.54,  0.10,  0.07,  0.47,  0.00,  0.00,  0.00,  0.03,  0.03,  0.00,  0.00,  0.20,  0.03
   36   :  0.67,  0.19,  0.77,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.19,  0.00,  0.10,  0.00,  0.67
    6   :  4.17,  4.17,  0.00,  4.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.17
   56   :  0.22,  0.04,  0.45,  0.13,  0.09,  0.00,  0.00,  0.13,  0.00,  0.00,  0.00,  0.04,  0.58,  0.09
   30   :  0.12,  0.62,  0.74,  0.49,  0.00,  0.00,  0.00,  0.00,  0.12,  0.49,  0.12,  0.25,  0.00,  0.37
    8   :  5.00,  0.00,  0.00,  2.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.00
   76   :  0.28,  0.28,  0.28,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.00,  0.04,  0.12,  0.08
   20   :  1.67,  0.28,  1.11,  0.28,  0.56,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.28,  0.00,  0.83
  134   :  0.20,  0.06,  0.17,  0.03,  0.04,  0.00,  0.00,  0.00,  0.01,  0.01,  0.01,  0.03,  0.05,  0.15
    9   :  4.76,  0.00,  0.00,  4.76,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.59
   87   :  0.19,  0.20,  0.39,  0.15,  0.00,  0.00,  0.00,  0.00,  0.03,  0.00,  0.03,  0.03,  0.07,  0.05
   24   :  0.66,  0.66,  1.10,  0.22,  0.22,  0.00,  0.00,  0.00,  0.22,  0.22,  0.00,  0.44,  0.22,  0.22
   26   :  0.58,  0.77,  0.38,  0.38,  0.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.19,  0.19,  1.15
   22   :  0.27,  1.34,  0.27,  0.80,  0.00,  0.00,  0.00,  0.27,  0.27,  0.27,  0.00,  0.00,  0.27,  0.80
   22   :  0.65,  1.30,  0.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.73
   75   :  0.30,  0.18,  0.45,  0.05,  0.00,  0.00,  0.00,  0.03,  0.03,  0.00,  0.03,  0.03,  0.13,  0.13
   18   :  2.59,  0.37,  0.37,  0.37,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.37,  0.00,  0.37,  1.11
   15   :  2.56,  1.03,  0.00,  0.00,  2.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.03,  0.00
   27   :  1.08,  0.15,  0.77,  0.31,  0.00,  0.00,  0.00,  0.00,  0.15,  0.00,  0.15,  0.00,  0.46,  0.62
   51   :  0.21,  0.15,  0.77,  0.15,  0.05,  0.00,  0.00,  0.05,  0.00,  0.00,  0.00,  0.15,  0.00,  0.41
   50   :  0.40,  0.49,  0.31,  0.27,  0.27,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.22
   16   :  2.60,  0.00,  0.52,  0.00,  1.56,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.04,  0.52
   14   :  1.59,  0.79,  3.17,  0.79,  0.00,  0.00,  0.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
  107   :  0.19,  0.28,  0.19,  0.08,  0.01,  0.00,  0.00,  0.02,  0.02,  0.00,  0.01,  0.02,  0.07,  0.06
   12   :  0.93,  0.93,  2.78,  0.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.78
   40   :  0.45,  0.09,  0.98,  0.00,  0.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.09,  0.27,  0.45
   54   :  0.26,  0.09,  0.53,  0.22,  0.09,  0.00,  0.04,  0.00,  0.00,  0.00,  0.00,  0.09,  0.09,  0.44
   49   :  0.38,  0.19,  0.66,  0.05,  0.24,  0.00,  0.00,  0.00,  0.00,  0.05,  0.05,  0.00,  0.28,  0.14
   16   :  1.25,  1.88,  1.25,  1.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.62,  0.00

Totals:

 7870   :  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00

Averages:

43.01   :  0.53,  0.30,  0.48,  0.22,  0.11,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.07,  0.23,  0.28
